year,geo_borough,sales,units,entity_sales,entity_units,sale_share,unit_share
2018,Bronx,3629,21104,1400,14869,0.3857812069440617,0.7045583775587566
2018,Brooklyn,7643,42056,2840,31632,0.3715818395917833,0.7521400038044512
2018,Manhattan,697,12806,575,10653,0.8249641319942611,0.8318756832734656
2018,Queens,10943,25278,2591,11937,0.2367723658960066,0.4722288155708521
2019,Bronx,3246,16091,1065,9258,0.32809611829944546,0.5753526816232677
2019,Brooklyn,7102,25947,2524,16856,0.3553928470853281,0.6496319420356881
2019,Manhattan,560,9250,423,6386,0.7553571428571428,0.6903783783783783
2019,Queens,10077,22580,2390,10304,0.2371737620323509,0.4563330380868025
2020,Bronx,2376,11867,683,7593,0.28745791245791247,0.6398415774837786
2020,Brooklyn,5207,18692,1581,11350,0.30362972921067793,0.6072116413438904
2020,Manhattan,421,7358,337,6533,0.8004750593824228,0.8878771405273173
2020,Queens,7521,14450,1516,5574,0.20156894030049197,0.3857439446366782
2020,Staten Island,1,1,0,0,0.0,0.0
2021,Bronx,2996,15118,798,9173,0.26635514018691586,0.6067601534594523
2021,Brooklyn,8044,28267,2162,15864,0.2687717553455992,0.5612197969363569
2021,Manhattan,694,9388,515,8036,0.7420749279538905,0.8559863655730721
2021,Queens,10611,21299,1762,7621,0.16605409480727548,0.3578102258321987
2022,Bronx,3172,18117,999,12912,0.31494325346784363,0.7127007782745488
2022,Brooklyn,8401,33040,2911,22196,0.34650636828948933,0.6717917675544794
2022,Manhattan,793,19440,624,17955,0.7868852459016393,0.9236111111111112
2022,Queens,10730,24846,2253,11988,0.20997204100652375,0.4824921516541898
2023,Bronx,2226,12388,738,7216,0.33153638814016173,0.5824991927671941
2023,Brooklyn,5991,19430,2203,11545,0.36771824403271575,0.5941842511580031
2023,Manhattan,583,10010,476,8522,0.8164665523156089,0.8513486513486513
2023,Queens,7788,16315,1832,7019,0.2352336928608115,0.43021759117376646
2024,Bronx,2201,11423,832,7658,0.3780099954566106,0.6704018208876827
2024,Brooklyn,6342,20355,2480,12049,0.39104383475244403,0.5919430115450749
2024,Manhattan,592,9710,460,8610,0.777027027027027,0.8867147270854789
2024,Queens,8014,16752,1916,6658,0.23908160718742202,0.3974450811843362
2025,Bronx,2366,13913,1036,9938,0.4378698224852071,0.7142959821749443
2025,Brooklyn,6602,21057,2766,13307,0.4189639503180854,0.6319513700907062
2025,Manhattan,631,9781,481,8915,0.7622820919175911,0.9114609958081996
2025,Queens,8338,17811,2264,7000,0.27152794435116334,0.3930155521868508
