year,building_type,sales,units,entity_sales,entity_units,sale_share,unit_share
2013,sfr_1_4,18273,32614,3893,8088,0.2130465714442073,0.24799166002330286
2013,small_mf,1408,13189,1191,11117,0.8458806818181818,0.8428993858518462
2014,condo_unit,2,2,2,2,1.0,1.0
2014,coop_building,18,1872,11,1313,0.6111111111111112,0.7013888888888888
2014,large_mf,608,36311,568,33669,0.9342105263157895,0.9272396794359836
2014,mixed_use_res,1904,44345,1564,42459,0.8214285714285714,0.957469838764235
2014,other_res,39,78,32,65,0.8205128205128205,0.8333333333333334
2014,sfr_1_4,18011,32524,4085,8492,0.22680584087502081,0.26109949575697944
2014,small_mf,1396,13391,1203,10878,0.8617478510028653,0.8123366440146367
2015,condo_unit,1,1,0,0,0.0,0.0
2015,coop_building,21,1401,14,1016,0.6666666666666666,0.7251962883654532
2015,large_mf,591,32701,542,28732,0.9170896785109983,0.878627564906272
2015,mixed_use_res,1946,42018,1628,39993,0.8365878725590956,0.9518063686991289
2015,other_res,41,56,29,40,0.7073170731707317,0.7142857142857143
2015,sfr_1_4,19784,35790,4686,10021,0.23685806712494945,0.2799944118468846
2015,small_mf,1500,14748,1327,12453,0.8846666666666667,0.8443856794141579
2016,condo_unit,1,1,1,1,1.0,1.0
2016,coop_building,11,877,5,404,0.45454545454545453,0.4606613454960091
2016,large_mf,547,38853,497,28340,0.9085923217550275,0.7294160039121819
2016,mixed_use_res,1626,23838,1380,21497,0.8487084870848709,0.9017954526386441
2016,other_res,40,53,32,46,0.8,0.8679245283018868
2016,sfr_1_4,20301,35805,4796,9882,0.2362445199743855,0.2759949727691663
2016,small_mf,1248,12065,1106,10596,0.8862179487179487,0.8782428512225445
2017,condo_unit,1,1,1,1,1.0,1.0
2017,coop_building,11,1934,4,390,0.36363636363636365,0.20165460186142709
2017,large_mf,355,20968,315,18170,0.8873239436619719,0.8665585654330408
2017,mixed_use_res,1416,13426,1157,11464,0.817090395480226,0.8538656338447788
2017,other_res,37,53,26,35,0.7027027027027027,0.660377358490566
2017,sfr_1_4,20295,35191,4757,9575,0.23439270756343927,0.2720866130544742
2017,small_mf,1062,10574,906,8650,0.8531073446327684,0.8180442595044448
2018,condo_unit,3,3,2,2,0.6666666666666666,0.6666666666666666
2018,coop_building,14,717,8,77,0.5714285714285714,0.10739191073919108
2018,large_mf,402,32049,361,28169,0.8980099502487562,0.8789353801990701
2018,mixed_use_res,1438,24437,1228,22596,0.8539638386648123,0.9246634202234317
2018,other_res,38,55,25,37,0.6578947368421053,0.6727272727272727
2018,sfr_1_4,19992,34505,4862,9631,0.24319727891156462,0.2791189682654688
2018,small_mf,1025,9478,920,8579,0.8975609756097561,0.9051487655623549
2019,condo_unit,6,6,1,1,0.16666666666666666,0.16666666666666666
2019,coop_building,9,562,6,484,0.6666666666666666,0.8612099644128114
2019,large_mf,243,14211,193,10214,0.7942386831275721,0.7187390049961297
2019,mixed_use_res,1134,19094,959,16550,0.845679012345679,0.8667644286163193
2019,other_res,33,51,22,28,0.6666666666666666,0.5490196078431373
2019,sfr_1_4,18765,32338,4515,8943,0.24060751398880895,0.27654771476281775
2019,small_mf,795,7606,706,6584,0.8880503144654088,0.8656323954772548
2020,condo_unit,4,4,2,2,0.5,0.5
2020,coop_building,18,1519,12,880,0.6666666666666666,0.5793285055957867
2020,large_mf,206,11456,185,10251,0.8980582524271845,0.8948149441340782
2020,mixed_use_res,812,11069,698,10196,0.8596059113300493,0.9211310868190442
2020,other_res,33,59,14,20,0.42424242424242425,0.3389830508474576
2020,sfr_1_4,13968,23303,2772,5469,0.19845360824742267,0.23469081234175856
2020,small_mf,485,4958,434,4232,0.8948453608247423,0.8535699878983461
2021,condo_unit,7,7,3,3,0.42857142857142855,0.42857142857142855
2021,coop_building,7,873,4,391,0.5714285714285714,0.44788087056128295
2021,large_mf,307,16460,265,13160,0.8631921824104235,0.7995139732685298
2021,mixed_use_res,1248,16081,1064,14781,0.8525641025641025,0.9191592562651576
2021,other_res,27,40,18,26,0.6666666666666666,0.65
2021,sfr_1_4,19981,33460,3211,6411,0.16070266753415746,0.19160191273161983
2021,small_mf,768,7151,672,5922,0.875,0.8281359250454482
2022,condo_unit,4,4,1,1,0.25,0.25
2022,coop_building,7,344,5,272,0.7142857142857143,0.7906976744186046
2022,large_mf,379,25343,352,23025,0.9287598944591029,0.9085349011561378
2022,mixed_use_res,1642,26073,1440,25122,0.876979293544458,0.9635254861350823
2022,other_res,46,73,40,63,0.8695652173913043,0.863013698630137
2022,sfr_1_4,20041,34515,4055,8238,0.20233521281373185,0.23867883528900477
2022,small_mf,977,9091,894,8330,0.9150460593654043,0.9162908370916291
2023,condo_unit,1,1,0,0,0.0,0.0
2023,coop_building,11,579,7,97,0.6363636363636364,0.16753022452504318
2023,large_mf,204,10573,185,8079,0.9068627450980392,0.7641161448973801
2023,mixed_use_res,1103,15163,955,13178,0.8658204895738894,0.8690892303633846
2023,other_res,37,66,25,42,0.6756756756756757,0.6363636363636364
2023,sfr_1_4,14500,24941,3426,6912,0.23627586206896553,0.2771340363257287
2023,small_mf,732,6820,651,5994,0.889344262295082,0.8788856304985337
2024,condo_unit,12,15,4,7,0.3333333333333333,0.4666666666666667
2024,coop_building,14,1767,9,988,0.6428571428571429,0.5591397849462365
2024,large_mf,206,12182,183,9946,0.8883495145631068,0.816450500738795
2024,mixed_use_res,1152,11690,994,10539,0.8628472222222222,0.9015397775876818
2024,other_res,39,65,28,49,0.717948717948718,0.7538461538461538
2024,sfr_1_4,14983,25669,3817,7712,0.2547553894413669,0.3004402197202852
2024,small_mf,743,6852,653,5734,0.8788694481830417,0.836835960303561
2025,condo_unit,17,17,3,3,0.17647058823529413,0.17647058823529413
2025,coop_building,14,450,7,251,0.5,0.5577777777777778
2025,large_mf,226,15950,209,13618,0.9247787610619469,0.8537931034482759
2025,mixed_use_res,1196,12267,1049,10247,0.8770903010033445,0.8353305616695198
2025,other_res,52,397,42,382,0.8076923076923077,0.9622166246851386
2025,sfr_1_4,15697,27168,4577,9133,0.29158437918073515,0.3361675500588928
2025,small_mf,735,6313,660,5526,0.8979591836734694,0.8753366070014257
