geo_borough,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
Virginia Gardens,sfr_1_4,unknown,29,32,513,589,0.056530214424951264,0.05432937181663837
Miami,sfr_1_4,trust,221,382,48140,66110,0.004590776900706273,0.0057782483739222505
Bay Harbor Islands,condo_unit,estate,3,3,2289,2289,0.001310615989515072,0.001310615989515072
Miami Beach,small_mf,corp,126,1349,695,7228,0.18129496402877698,0.18663530713890425
Coral Gables,small_mf,llc,104,995,166,1658,0.6265060240963856,0.6001206272617612
Miami Gardens,sfr_1_4,individual,23137,23382,26357,26682,0.8778313161588952,0.8763211153586687
Miami,condo_unit,llc,21474,21474,69788,69788,0.3077033300854015,0.3077033300854015
North Miami,sfr_1_4,partnership,17,18,9186,9910,0.001850642281733072,0.0018163471241170535
Sunny Isles Beach,sfr_1_4,trust,1,1,378,390,0.0026455026455026454,0.002564102564102564
South Miami,small_mf,unknown,2,19,14,183,0.14285714285714285,0.10382513661202186
Homestead,large_mf,corp,11,824,45,3526,0.24444444444444444,0.23369256948383438
North Bay Village,coop_building,coop_corp,12,12,12,12,1.0,1.0
West Miami,large_mf,corp,5,196,12,1493,0.4166666666666667,0.13127930341594105
Pinecrest,sfr_1_4,individual,4358,4461,5273,5431,0.8264744926986535,0.8213956914012153
Surfside,condo_unit,unknown,31,31,2072,2072,0.014961389961389961,0.014961389961389961
North Miami,large_mf,llc,64,4823,82,6662,0.7804878048780488,0.7239567697388172
North Miami Beach,sfr_1_4,trust,12,13,7288,7972,0.001646542261251372,0.001630707476166583
South Miami,sfr_1_4,trust,16,17,2907,2994,0.005503955968352253,0.0056780227120908485
Miami,large_mf,unknown,11,736,609,54179,0.0180623973727422,0.013584599198951624
North Miami Beach,condo_unit,corp,307,307,5678,5678,0.05406833392039451,0.05406833392039451
South Miami,large_mf,partnership,2,130,21,1244,0.09523809523809523,0.1045016077170418
Doral,large_mf,unknown,1,369,31,8769,0.03225806451612903,0.042080054738282587
Miami Beach,coop_building,estate,3,3,602,602,0.0049833887043189366,0.0049833887043189366
Hialeah,small_mf,unknown,19,176,576,5209,0.03298611111111111,0.03378767517757727
Hialeah,sfr_1_4,llc,1751,2596,31710,34986,0.05521917376222012,0.07420110901503459
Cutler Bay,sfr_1_4,trust,35,39,12438,12570,0.0028139572278501365,0.0031026252983293555
Cutler Bay,condo_unit,trust,3,3,1866,1866,0.001607717041800643,0.001607717041800643
Unincorporated County,small_mf,llc,119,1186,210,1916,0.5666666666666667,0.6189979123173278
Hialeah Gardens,condo_unit,trust,38,38,3064,3064,0.012402088772845953,0.012402088772845953
North Bay Village,condo_unit,llc,688,688,3031,3031,0.22698779280765424,0.22698779280765424
Hialeah Gardens,sfr_1_4,corp,20,20,2592,2607,0.007716049382716049,0.007671653241273495
Golden Beach,sfr_1_4,corp,14,14,345,349,0.04057971014492753,0.04011461318051576
Golden Beach,sfr_1_4,unknown,5,5,345,349,0.014492753623188406,0.014326647564469915
Biscayne Park,sfr_1_4,partnership,3,3,1043,1249,0.0028763183125599234,0.0024019215372297837
Sweetwater,sfr_1_4,estate,14,17,1629,2194,0.008594229588704727,0.007748404740200547
Miami,small_mf,unknown,67,573,2417,20369,0.02772031443938767,0.0281309833570622
Sunny Isles Beach,small_mf,llc,1,17,1,17,1.0,1.0
