geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
19138,mixed_use_res,partnership,2,2,207,207,0.00966183574879227,0.00966183574879227,false
19136,mixed_use_res,unknown,4,4,117,117,0.03418803418803419,0.03418803418803419,false
19145,small_mf,llc,9,45,28,140,0.32142857142857145,0.32142857142857145,false
19146,sfr_1_4,llc,1569,1810,15145,16278,0.10359854737537141,0.11119302125568252,false
19114,mixed_use_res,individual,5,5,10,10,0.5,0.5,false
19151,mixed_use_res,partnership,4,4,286,286,0.013986013986013986,0.013986013986013986,false
19133,small_mf,partnership,11,55,54,270,0.2037037037037037,0.2037037037037037,false
19121,mixed_use_res,corp,28,28,362,362,0.07734806629834254,0.07734806629834254,false
19145,sfr_1_4,lender_reo,21,23,16785,17599,0.0012511170688114387,0.001306892437070288,false
19124,mixed_use_res,individual,350,350,489,489,0.7157464212678937,0.7157464212678937,false
19123,small_mf,partnership,39,195,159,795,0.24528301886792453,0.24528301886792453,false
19132,sfr_1_4,corp,199,220,14508,15152,0.01371657016818307,0.014519535374868005,false
19130,small_mf,llc,169,845,407,2035,0.4152334152334152,0.4152334152334152,false
19130,large_mf,unknown,5,451,15,1353,0.3333333333333333,0.3333333333333333,false
19143,sfr_1_4,trust,440,484,22144,24045,0.019869942196531792,0.02012892493241838,false
19139,mixed_use_res,partnership,2,2,639,639,0.003129890453834116,0.003129890453834116,false
19154,large_mf,unknown,1,100,6,502,0.16666666666666666,0.199203187250996,false
19103,condo_unit,lender_reo,3,3,4529,4529,0.0006623978803267829,0.0006623978803267829,false
19121,sfr_1_4,partnership,49,82,9590,11329,0.0051094890510948905,0.0072380616117927446,false
19115,mixed_use_res,llc,2,2,10,10,0.2,0.2,false
19124,sfr_1_4,llc,1629,1893,20136,21468,0.08089988081048868,0.08817775293460034,false
19150,large_mf,unknown,3,153,6,306,0.5,0.5,false
19111,mixed_use_res,unknown,4,4,245,245,0.0163265306122449,0.0163265306122449,false
19136,small_mf,corp,5,25,41,205,0.12195121951219512,0.12195121951219512,false
19118,large_mf,corp,1,51,8,702,0.125,0.07264957264957266,false
19124,sfr_1_4,partnership,50,74,20136,21468,0.002483114819229241,0.00344699087013229,false
19140,small_mf,individual,19,95,66,330,0.2878787878787879,0.2878787878787879,false
19125,mixed_use_res,partnership,7,7,397,397,0.017632241813602016,0.017632241813602016,false
19125,mixed_use_res,individual,209,209,397,397,0.5264483627204031,0.5264483627204031,false
19119,small_mf,corp,7,35,90,450,0.07777777777777778,0.07777777777777778,false
19134,small_mf,llc,37,185,84,420,0.44047619047619047,0.44047619047619047,false
19123,condo_unit,corp,7,7,1770,1770,0.0039548022598870055,0.0039548022598870055,false
19143,sfr_1_4,partnership,149,177,22144,24045,0.006728684971098266,0.007361197754210854,false
19147,small_mf,trust,8,40,238,1190,0.03361344537815126,0.03361344537815126,false
19147,large_mf,llc,1,100,5,353,0.2,0.28328611898017,false
19127,sfr_1_4,trust,38,43,2331,2492,0.016302016302016303,0.01725521669341894,false
19118,small_mf,trust,1,5,23,115,0.043478260869565216,0.043478260869565216,false
19125,condo_unit,partnership,18,18,539,539,0.03339517625231911,0.03339517625231911,false
19121,mixed_use_res,estate,1,1,362,362,0.0027624309392265192,0.0027624309392265192,false
19145,mixed_use_res,corp,19,19,618,618,0.030744336569579287,0.030744336569579287,false
19143,condo_unit,llc,50,50,230,230,0.21739130434782608,0.21739130434782608,false
19126,sfr_1_4,lender_reo,9,9,4654,5023,0.0019338203695745595,0.0017917579135974518,false
19139,large_mf,corp,2,102,17,1161,0.11764705882352941,0.08785529715762273,false
19121,sfr_1_4,individual,6904,7637,9590,11329,0.7199165797705944,0.674110689381234,false
19146,large_mf,corp,2,102,18,1114,0.1111111111111111,0.09156193895870736,false
19112,small_mf,llc,1,5,2,10,0.5,0.5,false
19119,small_mf,partnership,5,25,90,450,0.05555555555555555,0.05555555555555555,false
19125,mixed_use_res,llc,146,146,397,397,0.3677581863979849,0.3677581863979849,false
19144,sfr_1_4,unknown,111,132,10805,12050,0.01027302174919019,0.010954356846473029,false
19136,sfr_1_4,individual,9560,10206,10243,10999,0.93332031631358,0.9279025365942358,false
19122,condo_unit,llc,38,38,434,434,0.08755760368663594,0.08755760368663594,false
19140,sfr_1_4,lender_reo,39,44,17861,19224,0.002183528357874699,0.0022888056595921765,false
19104,small_mf,llc,272,1360,718,3590,0.3788300835654596,0.3788300835654596,false
19126,sfr_1_4,llc,166,204,4654,5023,0.035668242372152985,0.040613179374875574,false
19130,condo_unit,llc,204,204,3563,3563,0.05725512208812798,0.05725512208812798,false
19129,small_mf,corp,2,10,25,125,0.08,0.08,false
19114,large_mf,llc,6,551,15,1402,0.4,0.3930099857346648,false
19133,small_mf,individual,12,60,54,270,0.2222222222222222,0.2222222222222222,false
19135,mixed_use_res,llc,74,74,331,331,0.22356495468277945,0.22356495468277945,false
19120,large_mf,unknown,1,100,3,251,0.3333333333333333,0.398406374501992,false
19118,sfr_1_4,llc,50,69,2402,2508,0.020815986677768527,0.02751196172248804,false
19118,condo_unit,trust,2,2,140,140,0.014285714285714285,0.014285714285714285,false
19111,mixed_use_res,partnership,3,3,245,245,0.012244897959183673,0.012244897959183673,false
19118,condo_unit,partnership,1,1,140,140,0.007142857142857143,0.007142857142857143,false
19144,sfr_1_4,trust,170,175,10805,12050,0.015733456732993985,0.014522821576763486,false
19150,small_mf,individual,5,25,12,60,0.4166666666666667,0.4166666666666667,false
19116,large_mf,partnership,3,251,16,1257,0.1875,0.19968178202068418,false
19131,small_mf,unknown,8,40,48,240,0.16666666666666666,0.16666666666666666,false
19121,sfr_1_4,corp,185,235,9590,11329,0.01929092805005214,0.02074322535086945,false
19124,mixed_use_res,partnership,4,4,489,489,0.0081799591002045,0.0081799591002045,false
