code,description,source
J5,"THEATRE IN MIXED-USE BUILDING",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
J6,"TELEVISION STUDIO",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
J7,"OFF BROADWAY TYPE THEATRE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
J8,"MULTIPLEX PICTURE THEATRE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
J9,"MISCELLANEOUS THEATRE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
K1,"ONE STORY RETAIL BUILDING",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
K2,"MULTI-STORY RETAIL BUILDING (2 OR MORE)",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
K3,"MULTI-STORY DEPARTMENT STORE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
K4,"PREDOMINANT RETAIL WITH OTHER USES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
K5,"STAND-ALONE FOOD ESTABLISHMENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
K6,"SHOPPING CENTER WITH OR WITHOUT PARKING",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
K7,"BANKING FACILITIES WITH OR WITHOUT PARKING",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
K8,"BIG BOX RETAIL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
K9,"MISCELLANEOUS STORE BUILDING",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
L1,"LOFT; OVER 8 STORIES (MID MANH. TYPE)",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
L2,"LOFT; FIREPROOF AND STORAGE TYPE WITHOUT STORES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
L3,"LOFT; SEMI-FIREPROOF",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
L8,"LOFT; WITH RETAIL STORES OTHER THAN TYPE ONE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
L9,"MISCELLANEOUS LOFT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
M1,"CHURCH, SYNAGOGUE, CHAPEL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
M2,"MISSION HOUSE (NON-RESIDENTIAL)",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
M3,"PARSONAGE, RECTORY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
M4,"CONVENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
M9,"MISCELLANEOUS RELIGIOUS FACILITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
N1,"ASYLUM",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
N2,"HOME FOR INDIGENT CHILDREN, AGED, HOMELESS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
N3,"ORPHANAGE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
N4,"DETENTION HOUSE FOR WAYWARD GIRLS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
N9,"MISCELLANEOUS ASYLUM, HOME",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
O1,"OFFICE ONLY - 1 STORY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
O2,"OFFICE ONLY 2 - 6 STORIES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
O3,"OFFICE ONLY 7 - 19 STORIES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
O4,"OFFICE ONLY WITH OR WITHOUT COMM - 20 STORIES OR MORE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
O5,"OFFICE WITH COMM - 1 TO 6 STORIES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
O6,"OFFICE WITH COMM 7 - 19 STORIES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
O7,"PROFESSIONAL BUILDINGS/STAND ALONE FUNERAL HOMES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
O8,"OFFICE WITH APARTMENTS ONLY (NO COMM)",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
O9,"MISCELLANEOUS AND OLD STYLE BANK BLDGS.",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
P1,"CONCERT HALL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
P2,"LODGE ROOM",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
P3,"YWCA, YMCA, YWHA, YMHA, PAL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
P4,"BEACH CLUB",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
P5,"COMMUNITY CENTER",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
P6,"AMUSEMENT PLACE, BATH HOUSE, BOAT HOUSE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
P7,"MUSEUM",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
P8,"LIBRARY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
P9,"MISCELLANEOUS INDOOR PUBLIC ASSEMBLY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Q1,"PARKS/RECREATION FACILTY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Q2,"PLAYGROUND",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Q3,"OUTDOOR POOL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Q4,"BEACH",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Q5,"GOLF COURSE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Q6,"STADIUM, RACE TRACK, BASEBALL FIELD",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Q7,"TENNIS COURT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Q8,"MARINA, YACHT CLUB",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Q9,"MISCELLANEOUS OUTDOOR RECREATIONAL FACILITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
RA,"CULTURAL, MEDICAL, EDUCATIONAL, ETC.",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
RB,"OFFICE SPACE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
RG,"INDOOR PARKING",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
RH,"HOTEL/BOATEL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
RK,"RETAIL SPACE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
RP,"OUTDOOR PARKING",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
RR,"CONDOMINIUM RENTALS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
RS,"NON-BUSINESS STORAGE SPACE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
RT,"TERRACES/GARDENS/CABANAS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
RW,"WAREHOUSE/FACTORY/INDUSTRIAL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
R0,"SPECIAL CONDOMINIUM BILLING LOT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
R1,"CONDO; RESIDENTIAL UNIT IN 2-10 UNIT BLDG.",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
R2,"CONDO; RESIDENTIAL UNIT IN WALK-UP BLDG.",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
R3,"CONDO; RESIDENTIAL UNIT IN 1-3 STORY BLDG.",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
R4,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
R5,"MISCELLANEOUS COMMERCIAL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
R6,"CONDO; RESID.UNIT OF 1-3 UNIT BLDG-ORIG CLASS 1",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
R7,"CONDO; COMML.UNIT OF 1-3 UNIT BLDG-ORIG CLASS 1",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
R8,"CONDO; COMML.UNIT OF 2-10 UNIT BLDG.",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
R9,"CO-OP WITHIN A CONDOMINIUM",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
S0,"PRIMARILY 1 FAMILY WITH 2 STORES OR OFFICES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
S1,"PRIMARILY 1 FAMILY WITH 1 STORE OR OFFICE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
