nta,nta_name,borough,parcels,units,entity_parcels,entity_units,entity_parcel_share,entity_unit_share,sfr_condo_parcels,sfr_condo_units,sfr_condo_entity_parcels,sfr_condo_entity_units,sfr_condo_entity_unit_share,suppressed
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,Queens,9,9,1,1,,,9,9,1,1,,true
SI0101,St. George-New Brighton,Staten Island,2430,7298,469,2713,0.19300411522633745,0.3717456837489723,2212,3763,337,732,0.19452564443263354,false
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island,2643,5912,425,1422,0.16080211880438894,0.2405277401894452,2375,3437,267,534,0.15536805353505964,false
SI0103,Rosebank-Shore Acres-Park Hill,Staten Island,4593,8938,311,888,0.0677117352492924,0.09935108525397181,4421,6007,213,386,0.06425836524055269,false
SI0104,West New Brighton-Silver Lake-Grymes Hill,Staten Island,7420,13190,520,2380,0.07008086253369272,0.18043972706595907,7172,9950,387,907,0.09115577889447236,false
SI0105,Westerleigh-Castleton Corners,Staten Island,8645,11933,361,835,0.041758241758241756,0.06997402162071566,8462,11034,270,437,0.03960485771252492,false
SI0106,Port Richmond,Staten Island,4056,6891,545,1496,0.1343688362919132,0.21709476128283267,3781,5647,385,720,0.12750132813883477,false
SI0107,Mariner's Harbor-Arlington-Graniteville,Staten Island,5613,10003,426,2211,0.07589524318546231,0.2210336898930321,5492,8626,355,1044,0.12102944586134941,false
SI0191,Snug Harbor,Staten Island,1,1,0,0,,,1,1,0,0,,true
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island,7660,12085,470,1369,0.06135770234986945,0.11328092676872155,7430,10218,336,575,0.05627324329614406,false
SI0202,New Dorp-Midland Beach,Staten Island,7785,10935,425,933,0.054592164418754016,0.08532235939643347,7632,10301,356,594,0.05766430443646248,false
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Staten Island,7972,10392,304,839,0.038133467134972406,0.08073518090839107,7881,9758,265,370,0.03791760606681697,false
SI0204,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,8039,15406,274,1083,0.03408384127379027,0.07029728677138777,7942,14990,228,925,0.06170780520346898,false
SI0301,Oakwood-Richmondtown,Staten Island,5811,8474,146,1619,0.02512476337979694,0.19105499173943827,5759,7000,120,185,0.02642857142857143,false
SI0302,Great Kills-Eltingville,Staten Island,15543,20717,478,1102,0.030753393810718652,0.05319302987884346,15391,20102,390,834,0.041488409113521044,false
SI0303,Arden Heights-Rossville,Staten Island,8186,11080,152,256,0.018568287319814317,0.023104693140794223,8163,11047,145,240,0.02172535530008147,false
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,11253,15634,418,679,0.03714565004887586,0.04343098375335806,11148,15502,376,601,0.03876919107211973,false
SI0305,Tottenville-Charleston,Staten Island,4549,6513,261,458,0.05737524730710046,0.07032089666820206,4459,6341,201,320,0.05046522630499921,false
SI0391,Freshkills Park (South),Staten Island,18,27,4,8,0.2222222222222222,0.2962962962962963,17,26,4,8,0.3076923076923077,false
