geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
BK0701,other_res,corp,2,3,2,3,,,true
SI0301,sfr_1_4,llc,99,151,5757,6951,0.017196456487754037,0.02172349302258668,false
SI0301,large_mf,llc,9,1326,9,1326,1.0,1.0,false
BK1801,large_mf,coop_corp,1,42,32,1952,0.03125,0.02151639344262295,false
MN0903,mixed_use_res,llc,93,2238,187,4431,0.49732620320855614,0.5050778605280974,false
QN1103,mixed_use_res,trust,5,7,82,244,0.06097560975609756,0.028688524590163935,false
MN1102,large_mf,corp,14,574,128,7687,0.109375,0.07467152335111227,false
MN0501,small_mf,hdfc,1,7,54,526,0.018518518518518517,0.013307984790874524,false
BK1803,sfr_1_4,llc,333,718,11663,21999,0.028551830575323674,0.03263784717487159,false
BX0802,large_mf,unknown,7,605,62,4114,0.11290322580645161,0.14705882352941177,false
SI0203,large_mf,corp,1,80,5,313,0.2,0.25559105431309903,false
BX0603,mixed_use_res,partnership,2,46,268,4093,0.007462686567164179,0.011238700219887612,false
BK0104,large_mf,unknown,6,276,58,3261,0.10344827586206896,0.08463661453541858,false
BK1202,condo_unit,lender_reo,1,22,613,2615,0.0016313213703099511,0.008413001912045888,false
QN1305,mixed_use_res,trust,3,5,49,67,0.061224489795918366,0.07462686567164178,false
BX0904,mixed_use_res,corp,7,73,44,5482,0.1590909090909091,0.01331630791681868,false
QN0802,coop_building,coop_corp,7,2773,7,2773,1.0,1.0,false
MN0501,large_mf,unknown,3,233,15,2107,0.2,0.11058376839107736,false
QN0301,sfr_1_4,corp,67,149,5591,11008,0.011983544983008406,0.013535610465116279,false
QN1205,sfr_1_4,trust,522,652,11252,14249,0.04639175257731959,0.045757597024352586,false
BK1701,mixed_use_res,llc,291,3632,521,4648,0.5585412667946257,0.7814113597246127,false
QN0501,other_res,individual,31,38,46,62,0.6739130434782609,0.6129032258064516,false
BX0802,condo_unit,individual,1,33,3,34,0.3333333333333333,0.9705882352941176,false
MN0801,small_mf,individual,10,113,139,1777,0.07194244604316546,0.06359032076533483,false
QN1102,sfr_1_4,lender_reo,1,2,7981,10543,0.0001252975817566721,0.00018969932656739068,false
QN1001,sfr_1_4,unknown,66,100,13198,19671,0.005000757690559176,0.005083625641807738,false
BX1104,sfr_1_4,llc,115,311,1171,2506,0.0982066609735269,0.12410215482841182,false
