year,geo_borough,sales,units,entity_sales,entity_units,sale_share,unit_share
2009,Palatine,1207,1242,36,48,0.029826014913007456,0.03864734299516908
2009,Palos,394,421,9,14,0.02284263959390863,0.0332541567695962
2009,Proviso,1285,1511,88,171,0.06848249027237355,0.11317008603573792
2009,Rich,962,975,139,142,0.1444906444906445,0.14564102564102563
2009,River Forest,108,109,2,2,0.018518518518518517,0.01834862385321101
2009,Riverside,112,120,2,2,0.017857142857142856,0.016666666666666666
2009,Rogers Park,774,940,43,101,0.05555555555555555,0.1074468085106383
2009,Schaumburg,1219,1229,26,26,0.02132895816242822,0.02115541090317331
2009,South Chicago,1447,1684,47,72,0.03248099516240498,0.04275534441805225
2009,Stickney,331,365,12,12,0.03625377643504532,0.03287671232876712
2009,Thornton,1808,2162,262,344,0.14491150442477876,0.15911193339500462
2009,West Chicago,4062,6780,516,1361,0.12703101920236337,0.20073746312684365
2009,Wheeling,1377,1435,40,74,0.029048656499636893,0.05156794425087108
2009,Worth,1283,1543,46,135,0.03585346843335931,0.08749189889825017
2010,Barrington,190,205,6,19,0.031578947368421054,0.09268292682926829
2010,Berwyn,491,687,40,61,0.0814663951120163,0.08879184861717612
2010,Bloom,858,941,100,114,0.11655011655011654,0.12114771519659936
2010,Bremen,923,993,107,150,0.11592632719393282,0.1510574018126888
2010,Calumet,119,178,8,25,0.06722689075630252,0.1404494382022472
2010,Cicero,596,898,31,64,0.05201342281879195,0.07126948775055679
2010,Elk Grove,733,777,23,48,0.03137789904502047,0.06177606177606178
2010,Evanston,777,941,69,166,0.0888030888030888,0.17640807651434645
2010,Hanover,924,1006,49,121,0.05303030303030303,0.12027833001988071
2010,Hyde Park,2578,4145,560,1223,0.21722265321955003,0.2950542822677925
2010,Jefferson,4727,6716,452,1054,0.0956209012058388,0.1569386539606909
2010,Lake,4959,7212,724,1312,0.1459971768501714,0.18191902384914033
2010,Lake View,3253,3811,186,465,0.05717798954810944,0.12201521910259774
2010,Lemont,157,162,5,8,0.03184713375796178,0.04938271604938271
2010,Leyden,890,1072,42,99,0.04719101123595506,0.09235074626865672
2010,Lyons,986,1194,36,83,0.036511156186612576,0.0695142378559464
2010,Maine,1281,1399,46,107,0.03590944574551132,0.0764832022873481
2010,New Trier,818,846,50,56,0.061124694376528114,0.06619385342789598
2010,Niles,1035,1199,43,70,0.04154589371980676,0.058381984987489574
2010,North Chicago,2278,3064,134,605,0.058823529411764705,0.19745430809399478
2010,Northfield,984,1035,42,49,0.042682926829268296,0.04734299516908213
2010,Norwood Park,251,267,7,12,0.027888446215139442,0.0449438202247191
2010,Oak Park,547,669,36,90,0.06581352833638025,0.13452914798206278
2010,Orland,891,933,31,52,0.03479236812570146,0.055734190782422297
2010,Palatine,1033,1103,41,82,0.03969022265246854,0.0743427017225748
2010,Palos,423,467,26,43,0.061465721040189124,0.09207708779443255
2010,Proviso,1259,1534,97,176,0.07704527402700556,0.11473272490221642
2010,Rich,902,1009,164,259,0.18181818181818182,0.2566897918731417
2010,River Forest,122,125,5,5,0.040983606557377046,0.04
2010,Riverside,147,177,4,19,0.027210884353741496,0.10734463276836158
2010,Rogers Park,761,1041,72,196,0.09461235216819974,0.1882804995196926
2010,Schaumburg,1038,1054,39,39,0.03757225433526012,0.03700189753320683
2010,South Chicago,1212,1466,35,72,0.028877887788778877,0.04911323328785812
2010,Stickney,342,375,13,16,0.038011695906432746,0.042666666666666665
2010,Thornton,1646,1940,262,350,0.1591737545565006,0.18041237113402062
2010,West Chicago,3826,6541,530,1267,0.13852587558808155,0.1937012689191255
2010,Wheeling,1435,1476,66,82,0.045993031358885016,0.05555555555555555
2010,Worth,1269,1488,58,144,0.045705279747832936,0.0967741935483871
2011,Barrington,194,199,9,9,0.04639175257731959,0.04522613065326633
2011,Berwyn,522,817,46,147,0.08812260536398467,0.1799265605875153
2011,Bloom,733,826,83,98,0.11323328785811733,0.11864406779661017
2011,Bremen,953,1044,120,142,0.1259181532004197,0.1360153256704981
2011,Calumet,131,312,20,176,0.15267175572519084,0.5641025641025641
2011,Cicero,576,878,33,92,0.057291666666666664,0.10478359908883828
2011,Elk Grove,749,773,31,48,0.04138851802403204,0.062095730918499355
2011,Evanston,738,898,60,142,0.08130081300813008,0.15812917594654788
2011,Hanover,1027,1038,57,58,0.055501460564751706,0.055876685934489405
2011,Hyde Park,2206,3853,459,1190,0.20806890299184044,0.3088502465611212
2011,Jefferson,4745,6563,463,974,0.09757639620653319,0.14840774036263904
2011,Lake,4478,6399,602,1156,0.13443501563197857,0.18065322706672918
2011,Lake View,3299,4121,249,636,0.07547741739921188,0.15433147294346033
2011,Lemont,154,182,7,31,0.045454545454545456,0.17032967032967034
2011,Leyden,961,1121,67,111,0.06971904266389178,0.09901873327386262
2011,Lyons,993,1155,43,60,0.0433031218529708,0.05194805194805195
2011,Maine,1344,1438,59,98,0.04389880952380952,0.06815020862308763
2011,New Trier,825,851,43,56,0.052121212121212124,0.06580493537015276
2011,Niles,1113,1285,43,86,0.03863432165318958,0.0669260700389105
2011,North Chicago,2300,2578,124,187,0.05391304347826087,0.07253685027152831
2011,Northfield,1049,1068,40,46,0.03813155386081983,0.04307116104868914
2011,Norwood Park,281,299,10,10,0.03558718861209965,0.033444816053511704
2011,Oak Park,550,703,39,128,0.07090909090909091,0.18207681365576103
2011,Orland,843,860,28,37,0.033214709371293,0.04302325581395349
2011,Palatine,1093,1144,56,85,0.05123513266239707,0.0743006993006993
2011,Palos,447,465,16,25,0.035794183445190156,0.053763440860215055
2011,Proviso,1319,1603,121,195,0.09173616376042457,0.12164691203992514
2011,Rich,854,883,141,157,0.16510538641686182,0.17780294450736125
2011,River Forest,125,136,8,15,0.064,0.11029411764705882
2011,Riverside,137,158,7,7,0.051094890510948905,0.04430379746835443
2011,Rogers Park,769,1098,77,275,0.10013003901170352,0.25045537340619306
2011,Schaumburg,1124,1150,56,62,0.0498220640569395,0.05391304347826087
2011,South Chicago,1247,1632,62,160,0.04971932638331997,0.09803921568627451
